ISO3,median_age,population_under_20,life_expectancy
AFG,16.50,0.54,64.50
ALB,32.90,0.25,78.50
DZA,26.90,0.37,76.70
AGO,16.30,0.57,60.90
ARG,31.10,0.33,76.60
AUS,37.20,0.25,82.80
AUT,42.70,0.19,81.80
BHS,25.10,0.37,72.40
BLR,39.30,0.22,74.70
BEL,41.60,0.23,81.70
BEN,18.40,0.53,61.50
BOL,22.40,0.40,71.30
BIH,39.50,0.20,77.30
BRA,30.30,0.29,75.80
BGR,43.00,0.19,75.20
BFA,17.10,0.56,61.10
MMR,29.00,0.35,66.90
BDI,17.60,0.56,61.20
KHM,24.40,0.40,69.50
CMR,18.30,0.53,58.90
CAN,40.10,0.21,82.00
CAF,19.70,0.56,52.80
TCD,15.80,0.58,54.00
CHL,33.10,0.26,80.00
CHN,37.40,0.24,76.70
COL,27.70,0.31,77.10
COM,19.10,0.50,64.10
COD,18.80,0.52,64.30
COG,17.40,0.57,60.40
CRI,29.70,0.28,80.10
HRV,42.60,0.20,78.30
CUB,40.10,0.22,78.70
CZE,40.30,0.20,79.10
DNK,41.10,0.22,81.00
DOM,25.80,0.37,74.00
ECU,26.10,0.37,76.90
EGY,25.20,0.42,71.90
GNQ,20.60,0.46,58.40
ERI,18.40,0.00,66.00
EST,40.90,0.21,78.60
ETH,18.20,0.52,66.30
FIN,42.30,0.21,81.80
FRA,40.60,0.24,82.90
GMB,17.00,0.55,61.80
GEO,37.60,0.26,73.80
DEU,45.50,0.19,81.00
GHA,20.60,0.48,63.80
GRC,42.80,0.19,81.90
GTM,19.40,0.45,74.10
GIN,18.60,0.55,61.10
GNB,19.10,0.53,58.00
HTI,22.20,0.43,63.70
HUN,40.60,0.20,76.30
ISL,35.50,0.26,82.90
IND,26.40,0.36,69.40
IDN,27.80,0.35,71.50
IRN,28.50,0.31,76.50
IRQ,19.70,0.48,70.40
IRL,35.30,0.27,82.30
ISR,30.10,0.36,82.90
ITA,44.30,0.18,83.50
CIV,19.00,0.53,57.50
JPN,45.90,0.17,84.40
KAZ,29.40,0.35,73.10
KEN,18.80,0.50,66.30
KWT,29.20,0.27,75.40
LVA,41.50,0.21,75.30
LBR,18.50,0.52,63.70
LUX,39.00,0.21,82.30
MKD,37.10,0.22,75.70
MDG,18.40,0.51,66.70
MWI,17.20,0.55,63.80
MYS,27.40,0.32,76.10
MLI,16.30,0.58,58.90
MLT,40.90,0.19,82.50
MRT,19.80,0.50,64.70
MEX,27.00,0.35,75.00
MAR,27.00,0.35,76.40
MOZ,17.30,0.56,60.10
NLD,41.80,0.22,81.90
NZL,37.00,0.26,81.90
NER,15.00,0.61,62.10
NGA,17.80,0.54,54.30
PRK,33.60,0.27,72.10
NOR,39.00,0.23,82.80
PAK,22.50,0.45,67.10
PAN,27.90,0.35,78.40
PRY,23.90,0.39,74.20
PER,26.50,0.33,76.60
PHL,23.00,0.40,71.20
POL,38.80,0.20,77.80
PRT,42.20,0.18,81.60
QAT,31.70,0.18,79.70
ROU,39.40,0.21,75.60
RUS,38.30,0.23,73.10
RWA,18.20,0.50,68.70
STP,19.20,0.53,70.20
SAU,27.50,0.31,75.00
SEN,18.10,0.53,67.60
SRB,38.70,0.21,76.00
SLE,19.10,0.52,54.30
SGP,38.10,0.17,83.10
SVN,42.40,0.20,81.50
SLB,19.70,0.50,72.90
SOM,16.30,0.58,57.10
ZAF,26.00,0.37,64.00
KOR,39.40,0.18,82.70
SSD,18.60,0.52,57.60
ESP,41.40,0.19,83.50
LKA,31.40,0.32,76.90
SDN,19.20,0.51,65.10
SWE,41.00,0.23,82.60
CHE,42.00,0.20,83.80
TZA,17.50,0.55,65.00
THA,36.90,0.23,77.10
TLS,16.60,0.49,69.30
TGO,18.90,0.52,60.80
TUR,29.40,0.33,77.40
UGA,15.80,0.58,62.90
UKR,39.70,0.20,72.10
ARE,30.00,0.19,77.80
GBR,40.20,0.23,81.30
USA,37.40,0.25,78.60
URY,34.40,0.28,77.80
VEN,27.00,0.36,72.30
VNM,29.80,0.30,75.30
YEM,19.10,0.50,66.10
ZMB,16.60,0.56,63.50
ZWE,19.50,0.53,61.10
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
PSE,,,
,,,
,,,
,,,
MKD,,,
