ISO3,HIV_Tuberculosis,Cardiovascular_disease,Respiratory_Disease,Diabetes,Suicide,Violence,DALYs
AFG,542776.7778,1596953.571,350288.6004,975116.6885,85169.80078,243485.8656,56925.14842
AGO,1024133.753,587699.2785,224774.277,307571.5349,73504.42169,65283.31228,51390.40652
ALB,396.0824618,206331.0507,24834.06555,35190.92685,7329.596671,5029.711495,23013.69149
AND,68.38251524,2580.725098,894.8355077,899.1799824,340.7753535,51.79257035,17946.37211
ARE,8014.614531,244833.5685,118058.5539,179512.4405,29707.89264,9464.170807,30806.91871
ARG,108793.9532,1850384.09,485965.0593,755646.6508,236617.4629,169371.074,24632.59041
ARM,4305.541859,232711.5492,33335.9067,70952.48842,11069.17734,6590.495578,25136.06442
ASM,158.0529034,2737.248533,842.4687557,3185.738907,179.8139157,199.5751518,32093.01739
ATG,401.2987865,3585.705428,586.9211007,2640.606417,120.4565466,284.8785257,24391.82232
AUS,7372.855372,694334.5198,305003.3315,292020.7453,132082.5784,30747.9632,19037.62622
AUT,4636.62949,410714.5573,103621.6898,148028.0067,48789.4599,5783.882545,18620.94152
AZE,31282.32318,821521.7043,85861.41758,185831.3805,19811.97171,25061.67702,34532.2885
BDI,626305.4941,246427.7952,87342.31797,152195.6831,29272.15689,11346.78729,55770.81757
BEL,5768.243012,454391.0681,164776.0404,158502.1905,79391.54785,10573.25062,19465.35103
BEN,218490.6426,238944.4591,91643.73154,238353.271,28622.69579,37900.31515,50235.15776
BFA,422956.2948,512726.8212,152163.3154,447355.8057,61406.73185,125089.0258,57810.07941
BGD,562910.7847,7263655.245,2370530.743,2488098.46,493533.6473,198729.8283,33089.65902
BGR,5529.336715,1099366.988,107937.6488,144881.747,31648.64906,10629.72901,26541.7295
BHR,1186.632306,26949.38015,10051.83607,39073.38359,3556.383904,1568.438514,21249.85975
BHS,5540.892367,18193.63748,2793.01685,12275.41377,574.8835706,6124.107096,29002.59337
BIH,3317.015863,314480.4575,45324.76363,96087.27343,11505.83024,5521.106246,24302.18709
BLR,34882.26814,1238969.124,86236.89871,114502.6648,89387.24629,33686.40547,28326.77313
BLZ,4663.620309,9829.837878,3329.221127,9613.883063,1282.056882,6027.440178,29790.6398
BMU,402.0986362,2995.339948,637.2179227,1251.761043,105.9493041,124.2082641,18276.09789
BOL,63293.72713,323003.0061,101048.1124,214670.3366,30690.14168,41446.15448,30715.55535
BRA,911158.313,8160380.067,2087972.681,3687891.633,641238.1803,3645543.155,27894.03287
BRB,1156.478706,14552.3884,2262.759513,11240.61405,541.9690248,1716.916622,23743.57968
BRN,746.4451942,12848.07789,3088.957524,10148.19794,1276.852335,435.692709,25380.98017
BTN,3905.010355,26844.90484,12218.25595,14573.49758,2291.646971,992.1578691,29095.82855
BWA,290480.0065,54316.8068,25228.15517,56387.37309,9342.304749,11515.76163,39611.79166
CAF,873580.8387,209220.8075,60624.18882,96418.3768,22845.56872,33786.30178,96470.90952
CAN,24359.45163,1259054.002,407422.0442,563635.1451,204890.465,48221.13762,19226.77041
CHE,4291.152184,263828.1442,86576.91665,104829.5873,39806.09337,5041.306027,17047.95497
CHL,33709.76851,526834.9502,155242.6394,276342.3081,92918.32494,51936.0261,21615.70892
CHN,3124239.094,85319393.51,23223150.24,20302945.81,4210001.024,2269115.758,22086.06149
CIV,1290113.719,725837.3231,196856.827,509265.7049,81409.45018,142345.8574,54257.12392
CMR,1710349.094,618008.0506,233554.1576,525557.4075,91341.32545,57152.66463,52120.32681
COD,4008675.141,2134793.814,759330.845,1071098.033,230269.9415,194440.2051,57690.79906
COG,322345.8379,162431.2239,49393.16609,68333.16649,19030.75811,21287.2607,53615.40683
COL,141813.4162,1258941.813,414242.4666,672923.9764,145382.7333,851013.1001,21427.32949
COM,11966.76521,22929.48667,6077.100969,10009.96213,1710.62366,3187.404873,38155.36276
CPV,7799.255601,15857.03491,3368.75732,7885.424413,3706.933619,4199.079551,28267.24238
CRI,8954.685273,127974.1363,38982.19508,71799.941,18598.16601,27472.77534,20790.94881
CUB,19314.07696,642753.6789,135526.487,196844.3494,57036.91253,36073.38085,21017.60215
CYP,406.9769264,44787.27424,12683.30569,18671.06144,3258.082961,1403.283777,18287.11069
CZE,2210.398624,767028.5193,138322.9419,192174.5368,56640.35062,13201.95769,21382.37925
DEU,37579.55511,4855899.693,1240818.146,1498389.716,408842.8108,50595.76149,19580.09987
DJI,55187.84376,29221.28991,7394.185456,15186.71168,2516.67736,5202.766931,39318.84239
DMA,374.6573727,3939.479839,714.9902253,2610.296154,146.2288059,467.1548794,32138.15106
DNK,2519.924675,205300.6391,93110.08097,85962.45771,23760.85262,3811.189546,19430.92655
DOM,206375.501,502131.2872,72513.76407,157261.6083,40591.79383,131050.1432,30965.80041
DZA,36565.9899,1577872.517,323503.9313,809853.4253,86942.36955,35211.8587,24307.37757
ECU,70751.52768,395999.9053,103299.6738,300659.6842,80653.96736,124219.749,25477.06962
EGY,44378.22318,5910574.146,1083839.854,2004533.903,238107.5312,55308.06854,35255.0691
ERI,197673.6459,154880.5688,49937.09596,69708.24017,25916.34153,40115.63982,57076.4135
ESP,63443.77654,1682047.715,588589.1254,660386.2336,131456.0239,28264.75607,17002.97201
EST,2713.493666,113906.3479,11178.50299,22035.43417,8185.158404,3549.888888,23217.90529
ETH,2988579.633,1526603.696,573659.1528,1356683.706,215669.5147,443213.7874,40653.53054
FIN,1276.898125,297802.7337,57755.37253,67128.94894,34443.98456,5945.393453,19522.23922
FJI,1961.992281,69931.42916,16096.39275,81934.40578,4397.653027,2739.973181,39647.6503
FRA,35456.71831,2121252.706,532874.8774,828873.0724,382882.2474,44454.91366,17833.05275
