name,population,cca3
Albania,2880.917,ALB
Algeria,43053.054,DZA
Andorra,77.142,AND
Angola,31825.295,AGO
Anguilla,14.869,AIA
Antigua and Barbuda,97.118,ATG
Argentina,44780.677,ARG
Armenia,2957.731,ARM
Aruba,106.314,ABW
Australia,25203.198,AUS
Austria,8955.102,AUT
Azerbaijan,10047.718,AZE
Bahamas,389.482,BHS
Bahrain,1641.172,BHR
Bangladesh,163046.161,BGD
Barbados,287.025,BRB
Belarus,9452.411,BLR
Belgium,11539.328,BEL
Belize,390.353,BLZ
Benin,11801.151,BEN
Bermuda,62.506,BMU
Bhutan,763.092,BTN
Bolivia,11513.1,BOL
Bosnia and Herzegovina,3301,BIH
Botswana,2303.697,BWA
Brazil,211049.527,BRA
British Virgin Islands,30.03,VGB
Brunei,433.285,BRN
Bulgaria,7000.119,BGR
Burkina Faso,20321.378,BFA
Burundi,11530.58,BDI
Cambodia,16486.542,KHM
Cameroon,25876.38,CMR
Canada,37411.047,CAN
Cape Verde,549.935,CPV
Cayman Islands,64.948,CYM
Central African Republic,4745.185,CAF
Chad,15946.876,TCD
Chile,18952.038,CHL
China,1433783.686,CHN
Colombia,50339.443,COL
Comoros,850.886,COM
Cook Islands,17.548,COK
Costa Rica,5047.561,CRI
Croatia,4130.304,HRV
Cuba,11333.483,CUB
Curacao,163.424,CUW
Cyprus,1198.575,CYP
Czech Republic,10689.209,CZE
Denmark,5771.876,DNK
Djibouti,973.56,DJI
Dominica,71.808,DMA
Dominican Republic,10738.958,DOM
Ecuador,17373.662,ECU
El Salvador,6453.553,SLV
Equatorial Guinea,1355.986,GNQ
Eritrea,3497.117,ERI
Estonia,1325.648,EST
Ethiopia,112078.73,ETH
Falkland Islands,3.377,FLK
Faroe Islands,48.678,FRO
Fiji,889.953,FJI
Finland,5532.156,FIN
France,65129.728,FRA
French Guiana,290.832,GUF
French Polynesia,279.287,PYF
Gabon,2172.579,GAB
Gambia,2347.706,GMB
Georgia,3996.765,GEO
Germany,83517.045,DEU
Ghana,30417.856,GHA
Gibraltar,33.701,GIB
Greece,10473.455,GRC
Greenland,56.672,GRL
Grenada,112.003,GRD
Guadeloupe,400.056,GLP
Guam,167.294,GUM
Guatemala,17581.472,GTM
Guinea,12771.246,GIN
Guinea-Bissau,1920.922,GNB
Guyana,782.766,GUY
Haiti,11263.077,HTI
Honduras,9746.117,HND
Hong Kong,7436.154,HKG
Hungary,9684.679,HUN
Iceland,339.031,ISL
India,1366417.754,IND
Indonesia,270625.568,IDN
Iran,82913.906,IRN
Iraq,39309.783,IRQ
Ireland,4882.495,IRL
Isle of Man,84.584,IMN
Israel,8519.377,ISR
Italy,60550.075,ITA
Ivory Coast,25716.544,CIV
Jamaica,2948.279,JAM
Japan,126860.301,JPN
Jordan,10101.694,JOR
Kazakhstan,18551.427,KAZ
Kenya,52573.973,KEN
Kiribati,117.606,KIR
Kuwait,4207.083,KWT
Kyrgyzstan,6415.85,KGZ
Laos,7169.455,LAO
Latvia,1906.743,LVA
Lebanon,6855.713,LBN
Lesotho,2125.268,LSO
Liberia,4937.374,LBR
Libya,6777.452,LBY
Liechtenstein,38.019,LIE
Lithuania,2759.627,LTU
Luxembourg,615.729,LUX
Macau,640.445,MAC
Macedonia,2083.459,MKD
Madagascar,26969.307,MDG
Malawi,18628.747,MWI
Malaysia,31949.777,MYS
Maldives,530.953,MDV
Mali,19658.031,MLI
Malta,440.372,MLT
Marshall Islands,58.791,MHL
Martinique,375.554,MTQ
Mauritania,4525.696,MRT
Mauritius,1269.668,MUS
Mayotte,266.15,MYT
Mexico,127575.529,MEX
Micronesia,113.815,FSM
Moldova,4043.263,MDA
Monaco,38.964,MCO
Mongolia,3225.167,MNG
Montenegro,627.987,MNE
Montserrat,4.989,MSR
Morocco,36471.769,MAR
Mozambique,30366.036,MOZ
Myanmar,54045.42,MMR
