ISO3,GDP_PPP
ABW,36300
AFG,2090
AGO,6860
ALB,12850
AND,12370
ARB,14587.4289
ARE,67670
ARG,23000
ARM,12540
ASM,12370
ATG,18780
AUS,47310
AUT,53830
AZE,13510
BDI,770
BEL,51060
BEN,3010
BFA,1970
BGD,4340
BGR,20930
BHR,45030
BHS,35250
BIH,13750
BLR,17580
BLZ,6620
BMU,85190
BOL,8170
BRA,14250
BRB,15080
BRN,64620
BTN,10170
BWA,15900
CAF,960
CAN,47930
CEB,28963.7169
CHE,65820
CHI,12370
CHL,23530
CHN,14330
CIV,4690
CMR,3490
COD,1030
COG,4120
COL,13960
COM,3050
CPV,6410
CRI,18770
CSS,15203.4325
CUB,12370
CUW,25690
CYM,41790
CYP,36620
CZE,36740
DEU,54230
DJI,5100
DMA,11050
DNK,56250
DOM,15940
DZA,11560
EAP,12910.32295
EAR,8887.028018
EAS,16347.99634
ECA,20372.73995
ECS,33813.53765
ECU,11360
EGY,10800
EMU,45901.81926
ERI,12370
ESP,39670
EST,33150
ETH,2010
EUU,42736.21426
FCS,4684.835812
FIN,47670
FJI,12370
FRA,45770
FRO,12370
FSM,3970
GAB,14060
GBR,45320
GEO,12920
GHA,4860
GIB,12370
GIN,2410
GMB,2030
GNB,1930
GNQ,16600
GRC,28580
GRD,14710
GRL,12370
GTM,8140
GUM,12370
GUY,11980
HIC,48702.01116
HKG,62450
HND,5220
HPC,2427.356861
HRV,26490
HTI,2990
HUN,28400
IBD,12377.16257
IBT,10157.58364
IDA,3626.448063
IDB,4689.422624
IDN,10590
IDX,3094.883005
IMN,12370
IND,6120
INX,12370
IRL,61980
IRN,14560
IRQ,10890
ISL,54100
ISR,38760
ITA,41940
JAM,9320
JOR,9960
JPN,42560
KAZ,22160
KEN,3970
KGZ,4800
KHM,3680
KIR,4280
KNA,24120
KOR,41280
KWT,58770
LAC,15165.53271
LAO,6870
LBN,15940
LBR,1380
LBY,13690
LCA,14140
LCN,15636.34497
LDC,2822.941879
LIC,2291.600813
LIE,12370
LKA,12250
LMC,6080.593545
LMY,9896.949776
LSO,3150
LTE,15779.37726
LTU,32650
LUX,72650
LVA,28670
MAC,116080
MAF,12370
MAR,7170
MCO,12370
MDA,12320
MDG,1540
MDV,16630
MEA,16607.36315
MEX,19270
MHL,4850
MIC,10764.39064
MKD,15080
MLI,2170
MLT,38180
MMR,4600
MNA,10832.16129
MNE,20150
MNG,9720
MNP,12370
MOZ,1250
MRT,5000
MUS,23540
MWI,1010
MYS,25910
NAC,59699.80316
NAM,9870
NCL,12370
NER,1210
NGA,5030
NIC,5690
NLD,55680
NOR,67110
NPL,3140
NRU,14930
NZL,40670
OED,43657.49375
OMN,27780
OSS,22158.50881
PAK,4500
PAN,28610
PER,11930
PHL,9020
PLW,18980
PNG,4200
POL,28920
PRE,3414.740431
PRI,22940
PRK,12370
PRT,32370
PRY,12200
PSE,7250
PSS,7065.016386
PST,47976.54178
PYF,12370
QAT,91500
ROU,26840
RUS,25310
RWA,1930
SAS,5722.766999
SAU,48040
SDN,4200
SEN,3110
SGP,87740
SLB,2610
SLE,1590
SLV,7980
SMR,12370
SOM,12370
SRB,15570
SSA,3615.575442
SSD,12370
SSF,3641.541592
SST,19961.67471
STP,3940
SUR,14350
SVK,29620
SVN,35970
SWE,53000
SWZ,7840
SXM,37080
SYC,25220
SYR,12370
TCA,26630
TCD,1570
TEA,13046.38989
TEC,21415.34749
TGO,1520
THA,16640
TJK,3610
TKM,13620
TLA,15636.13841
TLS,4470
TMN,10873.93204
TON,6730
TSA,5722.766999
TSS,3641.541592
TTO,26650
TUN,10270
TUR,27650
TUV,5580
TZA,2470
UGA,2030
UKR,12140
UMC,15458.26245
URY,20060
USA,61020
UZB,6650
VCT,12160
VEN,12370
VGB,12370
VIR,12370
VNM,6650
VUT,3080
WLD,16202.78184
WSM,6280
XKX,10740
YEM,12370
ZAF,12320
ZMB,3330
ZWE,2760
