ISO3,child_immunization,basic_sanitation,normal_blood_pressure,fasting_plasma_glucose,tobacco_nonsmoking,hospital_bed_density,health_worker_density,IHR_core_capacity_index
AFG,66,43,76,39,59,28,12,42
ALB,99,98,100,42,41,100,73,46
DZA,91,88,94,50,71,100,100,75
AGO,52,50,98,41,77,44,12,75
ATG,95,88,87,53,79,68,71,71
ARG,86,94,97,55,56,100,100,70
ARM,94,94,74,49,45,100,100,95
AUS,95,100,100,60,71,100,100,100
AUT,90,100,100,58,40,100,100,68
AZE,95,93,70,51,60,100,100,84
BHS,94,95,81,58,78,68,100,78
BHR,97,100,78,58,62,100,100,93
BGD,98,48,64,51,57,46,21,78
BRB,90,97,86,51,85,68,77,92
BLR,97,98,92,45,46,100,100,89
BEL,98,100,100,65,50,100,100,83
BLZ,88,88,88,55,79,68,65,40
BEN,76,17,100,45,88,28,10,30
BTN,98,69,93,44,59,97,21,73
BOL,84,61,97,64,79,72,99,76
BIH,75,95,93,38,23,100,82,58
BWA,95,77,95,41,62,100,25,42
BRA,89,88,93,53,72,100,100,96
BRN,99,96,84,62,69,100,100,67
BGR,92,86,95,43,21,100,100,65
BFA,91,19,100,35,75,22,4,45
BDI,91,46,100,42,81,44,2,25
CPV,96,74,74,41,77,100,88,64
KHM,93,59,100,48,65,50,14,81
CMR,86,39,100,50,85,72,4,57
CAN,91,99,100,74,73,100,100,100
CAF,47,25,57,38,77,56,3,27
TCD,41,8,100,35,81,22,2,44
CHL,93,100,94,58,10,100,100,84
CHN,99,85,87,62,50,100,100,100
COL,92,90,90,62,84,95,75,88
COM,91,36,100,44,73,100,13,37
COG,69,20,93,48,75,89,5,31
CRI,96,98,93,63,80,65,80,87
CIV,83,32,100,45,75,22,14,87
HRV,92,97,100,35,27,100,100,71
CUB,99,93,100,62,44,100,100,99
CYP,97,99,100,61,26,100,96,96
CZE,96,99,93,44,37,100,100,94
PRK,97,83,100,64,62,100,29,67
ZAR,81,21,100,43,77,44,5,65
DNK,98,100,98,59,61,100,100,90
DJI,76,64,100,47,68,78,15,33
DOM,84,84,100,57,81,86,89,55
ECU,85,88,93,64,79,77,100,81
EGY,94,94,68,50,57,79,91,96
SLV,85,87,90,62,79,67,79,93
GNQ,25,66,87,43,77,100,30,27
ERI,95,12,100,42,88,39,3,49
EST,93,99,100,45,38,100,100,70
SWZ,90,58,83,41,82,100,13,75
ETH,73,7,100,58,93,18,5,79
FJI,99,95,38,57,46,100,43,72
FIN,89,99,90,61,60,100,100,94
FRA,96,99,100,56,31,100,100,89
GAB,75,47,77,49,77,72,48,52
GMB,92,39,91,42,69,61,9,27
GEO,91,90,48,47,40,100,100,74
DEU,93,99,99,60,43,100,100,96
GHA,99,19,100,53,93,50,8,74
GRC,99,99,100,62,21,100,100,76
GRD,96,92,89,52,79,68,59,66
GTM,82,65,82,58,79,25,23,58
GIN,45,23,100,40,77,17,5,60
GNB,88,21,100,40,77,56,4,53
GUY,97,86,92,54,75,68,57,89
HTI,64,35,100,51,82,39,11,62
HND,89,81,96,57,79,36,36,70
HUN,99,98,98,40,38,100,100,82
ISL,89,99,95,61,71,100,100,72
IND,89,60,72,49,76,29,36,95
IDN,79,73,100,53,38,67,40,99
IRN,99,88,80,61,78,90,100,76
IRQ,85,94,77,50,63,72,42,89
IRL,95,91,100,61,52,100,100,69
ISR,98,100,99,67,48,100,100,81
ITA,95,99,100,58,53,100,100,87
JAM,93,87,100,56,77,68,77,79
JPN,99,100,100,65,55,100,100,100
JOR,99,97,73,58,68,78,92,72
KAZ,99,98,77,46,50,100,100,73
KEN,82,29,100,41,79,78,13,58
KIR,90,48,41,57,1,100,39,53
KWT,99,100,57,54,61,100,100,85
KGZ,92,97,100,47,47,100,100,56
LAO,69,75,100,51,44,83,9,55
LVA,98,92,97,41,26,100,100,90
LBN,83,99,86,59,36,100,100,80
LSO,93,43,100,43,42,72,5,62
LBR,86,17,61,44,85,44,3,76
LBY,96,100,63,53,68,100,99,64
LTU,94,93,85,41,45,100,100,77
LUX,99,98,100,56,56,100,100,88
MDG,74,11,100,44,59,11,7,43
MWI,88,26,100,43,77,72,2,56
MYS,99,100,81,54,56,100,72,97
MDV,99,99,99,51,59,100,47,63
MLI,70,40,100,35,76,13,6,40
MLT,98,100,96,61,49,100,100,79
MRT,81,48,100,37,77,22,13,32
MUS,94,96,50,50,56,100,74,71
MEX,85,91,85,60,71,54,100,94
FSM,73,88,1,50,49,100,54,86
MNG,99,59,83,42,49,100,80,87
MSR,87,98,100,42,44,100,100,56
MAR,99,89,86,48,72,61,58,95
MOZ,80,29,100,42,68,39,6,69
MMR,89,64,93,51,58,58,30,62
NAM,88,35,100,43,58,100,20,79
NPL,90,62,100,41,57,17,22,22
NLD,94,98,100,63,52,100,100,95
NZL,94,100,95,67,69,100,100,98
NIC,98,74,100,58,79,52,82,91
NER,85,14,100,33,84,22,2,74
NGA,57,39,100,52,92,28,15,51
NOR,96,98,95,61,61,100,100,99
OMN,99,100,84,52,84,83,100,90
PAK,75,60,69,39,59,35,30,51
PAN,81,83,96,60,88,100,92,76
PNG,62,13,41,49,49,100,6,43
PRY,91,90,99,51,73,68,47,77
PER,83,74,100,73,80,88,92,66
PHL,72,77,96,55,51,55,43,81
POL,96,99,100,42,47,100,100,74
PRT,98,100,100,51,45,100,100,91
QAT,97,100,53,58,74,67,63,76
KOR,97,100,92,75,55,100,100,98
MDA,88,76,92,40,50,100,100,70
MKD,91,99,100,43,44,100,100,90
ROM,82,84,100,40,48,100,100,76
RUS,97,91,88,45,43,100,100,99
RWA,98,67,100,47,77,89,6,66
LCA,80,88,84,46,79,68,46,68
VCT,99,87,96,53,79,68,56,55
WSM,74,98,61,52,41,56,33,74
STP,95,43,93,48,89,100,28,16
SAU,98,100,62,54,75,100,100,99
SEN,93,52,100,40,85,17,6,44
SRB,95,98,100,41,18,100,100,44
SYC,97,100,78,53,57,100,100,87
SLE,90,16,100,40,59,22,2,70
SGP,96,100,100,71,67,100,100,99
SVK,96,98,91,43,36,100,100,95
SVN,94,99,98,39,54,100,100,77
SLB,83,34,44,56,24,78,14,57
SOM,42,38,100,34,77,48,2,29
ZAF,76,76,72,47,58,100,56,91
SSD,47,11,100,43,77,48,3,34
ESP,95,100,100,62,44,100,100,95
LKA,99,96,100,55,72,100,26,76
SDN,95,37,100,40,77,37,15,67
SUR,81,85,88,55,79,68,100,71
SWE,97,99,100,61,65,100,100,93
CHE,97,100,100,64,49,100,100,91
